종목코드,종목명,산업,섹터,날짜
009150,삼성전기,IT,기술하드웨어와장비,20220408
011070,LG이노텍,IT,기술하드웨어와장비,20220408
020150,일진머티리얼즈,IT,기술하드웨어와장비,20220408
222800,심텍,IT,기술하드웨어와장비,20220408
078600,대주전자재료,IT,기술하드웨어와장비,20220408
248070,솔루엠,IT,기술하드웨어와장비,20220408
098460,고영,IT,기술하드웨어와장비,20220408
353200,대덕전자,IT,기술하드웨어와장비,20220408
032500,케이엠더블유,IT,기술하드웨어와장비,20220408
336370,솔루스첨단소재,IT,기술하드웨어와장비,20220408
068240,다원시스,IT,기술하드웨어와장비,20220408
090460,비에이치,IT,기술하드웨어와장비,20220408
097520,엠씨넥스,IT,기술하드웨어와장비,20220408
140860,파크시스템스,IT,기술하드웨어와장비,20220408
218410,RFHIC,IT,기술하드웨어와장비,20220408
091120,이엠텍,IT,기술하드웨어와장비,20220408
178320,서진시스템,IT,기술하드웨어와장비,20220408
091700,파트론,IT,기술하드웨어와장비,20220408
189300,인텔리안테크,IT,기술하드웨어와장비,20220408
106240,파인테크닉스,IT,기술하드웨어와장비,20220408
049070,인탑스,IT,기술하드웨어와장비,20220408
088800,에이스테크,IT,기술하드웨어와장비,20220408
089980,상아프론테크,IT,기술하드웨어와장비,20220408
050890,쏠리드,IT,기술하드웨어와장비,20220408
060720,KH바텍,IT,기술하드웨어와장비,20220408
054210,이랜텍,IT,기술하드웨어와장비,20220408
007660,이수페타시스,IT,기술하드웨어와장비,20220408
230240,에치에프알,IT,기술하드웨어와장비,20220408
007810,코리아써키트,IT,기술하드웨어와장비,20220408
032820,우리기술,IT,기술하드웨어와장비,20220408
033240,자화전자,IT,기술하드웨어와장비,20220408
