종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
339770,-0.32,6.55,15.3,-2.83,-17.82,-15.11
011780,-2.49,0.0,7.56,0.97,-17.2,-29.02
263750,-3.05,5.12,4.56,-25.21,12.06,69.83
100130,0.8,11.55,6.08,37.42,12.34,1.29
151860,-2.99,-6.47,13.04,-6.14,-30.48,90.06
051900,-0.94,-0.63,-2.56,-9.87,-32.67,-39.37
226950,-1.91,5.21,-2.08,-23.23,-36.37,-38.79
004250,0.66,9.77,11.1,46.42,66.85,132.87
005290,-2.19,7.54,-8.24,5.94,37.64,12.82
032830,-1.14,1.0,0.33,1.34,-18.11,-20.99
078020,-1.32,2.18,-0.53,-7.75,-14.19,7.91
230240,-2.32,8.46,-2.96,-10.06,39.15,26.61
278280,-3.11,3.96,10.51,-17.69,19.75,69.03
245620,-2.08,0.76,-6.0,19.79,-2.8,-1.53
010950,0.45,7.3,-0.33,12.27,-1.64,1.93
082270,-2.21,6.53,5.08,-2.21,-23.83,-33.48
093050,0.56,2.89,13.74,6.27,-2.47,11.95
009540,1.97,7.61,17.06,6.63,-20.26,-18.16
277810,-0.64,4.5,6.67,29.97,13.17,-12.78
376300,-1.67,4.19,-5.13,-28.59,,
348370,-2.67,8.33,-4.61,-12.5,,
082640,1.77,4.12,6.04,-4.82,16.82,50.84
001230,2.05,12.26,18.77,22.54,-12.56,86.1
013120,3.57,9.78,9.55,8.3,-10.92,-0.19
281820,-3.13,-1.47,1.52,-11.26,-22.24,-21.64
130660,-0.38,12.55,30.0,8.33,10.64,168.6
105560,-1.54,-5.74,-3.36,8.9,6.09,28.49
032620,0.29,6.14,8.14,-6.75,-15.11,-17.34
013890,-0.8,0.4,11.86,-5.7,-8.48,-12.1
069960,-0.63,2.61,9.79,16.99,-1.38,-5.08
000140,0.0,4.26,17.47,14.96,-4.95,-14.06
000670,2.1,3.03,9.85,7.59,4.13,4.94
065350,-0.69,11.72,1.42,-1.72,-13.33,55.43
