종목코드,지수코드,지수명,날짜
299900,2003,코스닥 중형주,20220224
036930,2003,코스닥 중형주,20220224
137400,2003,코스닥 중형주,20220224
289220,2003,코스닥 중형주,20220224
068240,2003,코스닥 중형주,20220224
067310,2003,코스닥 중형주,20220224
272290,2003,코스닥 중형주,20220224
222080,2003,코스닥 중형주,20220224
256840,2003,코스닥 중형주,20220224
121800,2003,코스닥 중형주,20220224
189300,2003,코스닥 중형주,20220224
033290,2003,코스닥 중형주,20220224
319660,2003,코스닥 중형주,20220224
091700,2003,코스닥 중형주,20220224
041190,2003,코스닥 중형주,20220224
205470,2003,코스닥 중형주,20220224
064260,2003,코스닥 중형주,20220224
053800,2003,코스닥 중형주,20220224
220630,2003,코스닥 중형주,20220224
090460,2003,코스닥 중형주,20220224
100090,2003,코스닥 중형주,20220224
091120,2003,코스닥 중형주,20220224
041140,2003,코스닥 중형주,20220224
101490,2003,코스닥 중형주,20220224
106240,2003,코스닥 중형주,20220224
294090,2003,코스닥 중형주,20220224
121600,2003,코스닥 중형주,20220224
182400,2003,코스닥 중형주,20220224
067000,2003,코스닥 중형주,20220224
049070,2003,코스닥 중형주,20220224
086390,2003,코스닥 중형주,20220224
085370,2003,코스닥 중형주,20220224
267980,2003,코스닥 중형주,20220224
095340,2003,코스닥 중형주,20220224
298540,2003,코스닥 중형주,20220224
287410,2003,코스닥 중형주,20220224
330860,2003,코스닥 중형주,20220224
047820,2003,코스닥 중형주,20220224
043150,2003,코스닥 중형주,20220224
348210,2003,코스닥 중형주,20220224
183300,2003,코스닥 중형주,20220224
006730,2003,코스닥 중형주,20220224
104480,2003,코스닥 중형주,20220224
060720,2003,코스닥 중형주,20220224
151860,2003,코스닥 중형주,20220224
317330,2003,코스닥 중형주,20220224
038540,2003,코스닥 중형주,20220224
095660,2003,코스닥 중형주,20220224
032190,2003,코스닥 중형주,20220224
095610,2003,코스닥 중형주,20220224
294570,2003,코스닥 중형주,20220224
003800,2003,코스닥 중형주,20220224
039840,2003,코스닥 중형주,20220224
035080,2003,코스닥 중형주,20220224
038500,2003,코스닥 중형주,20220224
030520,2003,코스닥 중형주,20220224
206560,2003,코스닥 중형주,20220224
225570,2003,코스닥 중형주,20220224
243070,2003,코스닥 중형주,20220224
035600,2003,코스닥 중형주,20220224
061970,2003,코스닥 중형주,20220224
104830,2003,코스닥 중형주,20220224
110790,2003,코스닥 중형주,20220224
060150,2003,코스닥 중형주,20220224
115450,2003,코스닥 중형주,20220224
241820,2003,코스닥 중형주,20220224
290510,2003,코스닥 중형주,20220224
051500,2003,코스닥 중형주,20220224
078130,2003,코스닥 중형주,20220224
143240,2003,코스닥 중형주,20220224
089970,2003,코스닥 중형주,20220224
100790,2003,코스닥 중형주,20220224
