종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
049180,셀루메드,2002-05-23,5190,209518727430,694304,3651253480,40369697,1212.0,24.71,4.28,210.0,0.0,0.0,20221212
208370,셀바스헬스케어,2014-12-17,2035,44119947740,25923,52664810,21680564,1296.0,17.85,1.57,114.0,0.0,0.0,20221212
328380,솔트웨어,2019-08-20,1345,42898476410,123925,164457995,31894778,0.0,0.0,0.0,0.0,0.0,0.0,20221212
192440,슈피겐코리아,2014-11-05,34200,212599614600,6846,231999150,6216363,63123.0,4.56,0.54,7493.0,2.46,840.0,20221212
115570,스타플렉스,2010-01-27,5290,42238047320,31584,170788570,7984508,9025.0,7.81,0.59,677.0,0.0,0.0,20221212
330730,스톤브릿지벤처스,2022-02-25,4935,89105521050,74940,374197855,18055830,4245.0,3.27,1.16,1511.0,0.0,0.0,20221212
013810,스페코,1997-11-03,4835,70859197450,52872,254750925,14655470,3357.0,40.97,1.44,118.0,1.03,50.0,20221212
269620,시스웍,2017-12-26,889,96529874504,0,0,108582536,454.0,0.0,1.96,0.0,0.0,0.0,20221212
139050,시티랩스,2011-07-29,606,64295707362,337267,205629455,106098527,517.0,46.62,1.17,13.0,0.0,0.0,20221212
430220,신영스팩8호,2022-08-26,2000,13520000000,7996,15976775,6760000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
405640,신한제9호스팩,2022-04-27,2000,9070000000,1572,3134560,4535000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
010280,쌍용정보통신,2000-04-14,872,55776637648,330159,286697466,63964034,699.0,0.0,1.25,0.0,0.0,0.0,20221212
066790,씨씨에스,2003-05-30,615,34455409440,162329,99630338,56025056,471.0,24.6,1.31,25.0,0.0,0.0,20221212
115530,씨엔플러스,2011-11-02,582,39554466000,309689,181698093,67963000,146.0,0.0,3.99,0.0,0.0,0.0,20221212
900120,씨케이에이치,2010-03-31,227,36524390346,2045270,462554492,160900398,,,,,,,20221212
246720,아스타,2017-03-20,4160,52685480640,59328,247870540,12664779,702.0,0.0,5.93,0.0,0.0,0.0,20221212
127710,아시아경제,2015-07-31,1755,61256663910,72907,127579075,34904082,5242.0,2.16,0.33,813.0,0.0,0.0,20221212
339950,아이비김영,2019-12-24,1920,86297577600,28176,54109440,44946655,836.0,15.87,2.3,121.0,0.0,0.0,20221212
099190,아이센스,2013-01-30,32950,453185667100,63284,2090845650,13753738,19737.0,17.6,1.67,1872.0,0.91,300.0,20221212
069920,아이에스이커머스,2007-12-05,8780,226755458360,1103974,9126095360,25826362,2637.0,7.74,3.33,1135.0,0.0,0.0,20221212
090150,아이윈,2006-10-20,1470,60837896280,115558,169961155,41386324,2062.0,17.93,0.71,82.0,6.8,100.0,20221212
059100,아이컴포넌트,2008-12-16,6710,47445470600,36227,239784630,7070860,4524.0,17.38,1.48,386.0,0.0,0.0,20221212
124500,아이티센,2014-12-23,4000,79629332000,167711,671405570,19907333,2873.0,0.0,1.39,0.0,0.0,0.0,20221212
372800,아이티아이즈,2021-11-11,7770,46441212300,72192,577698770,5976990,5035.0,0.0,1.54,0.0,0.0,0.0,20221212
361570,알비더블유,2021-11-22,14200,136578340600,43153,620256450,9618193,6721.0,14.17,2.11,1002.0,0.0,0.0,20221212
096610,알에프세미,2007-11-20,2670,29033078040,167912,455439535,10873812,3365.0,0.0,0.79,0.0,0.0,0.0,20221212
061040,알에프텍,2002-05-16,5220,167505931980,442122,2308961750,32089259,6806.0,9.06,0.77,576.0,0.0,0.0,20221212
347860,알체라,2020-12-21,7180,154665327760,222990,1617309070,21541132,947.0,0.0,7.58,0.0,0.0,0.0,20221212
310200,애니플러스,2018-12-21,3815,148818663560,2779893,10907083660,39008824,1610.0,5.23,2.37,729.0,0.0,0.0,20221212
238090,앤디포스,2016-10-12,5330,127809684990,26064,139511830,23979303,6999.0,6.98,0.76,764.0,0.0,0.0,20221212
174900,앱클론,2017-09-18,14750,225941517750,51864,758724750,15318069,1267.0,0.0,11.64,0.0,0.0,0.0,20221212
102120,어보브반도체,2009-06-05,9470,168383730910,52532,498214300,17780753,6757.0,11.44,1.4,828.0,2.53,240.0,20221212
097780,에스맥,2008-01-23,1620,91860561000,57964,93729575,56704050,5110.0,0.0,0.32,0.0,0.0,0.0,20221212
065420,에스아이리소스,2002-08-22,520,35399616720,587488,304609543,68076186,271.0,8.97,1.92,58.0,0.0,0.0,20221212
103230,에스앤더블류,2009-08-05,2505,18036000000,0,0,7200000,5380.0,0.0,0.47,0.0,0.0,0.0,20221212
095910,에스에너지,2007-10-16,3660,71386480980,111226,405429035,19504503,4908.0,0.0,0.75,0.0,0.0,0.0,20221212
351320,에스에이티이엔지,2020-06-22,3175,69900438050,314830,1005986340,22015886,1315.0,0.0,2.41,0.0,1.86,59.0,20221212
056190,에스에프에이,2001-12-18,36900,1325033244000,141721,5277328800,35908760,31340.0,11.34,1.18,3254.0,3.17,1170.0,20221212
214310,에스엘바이오닉스,2015-06-25,306,20322728370,0,0,66414145,2078.0,0.0,0.15,0.0,0.0,0.0,20221212
043340,에쎈테크,2000-08-29,872,62784000000,23371,20342503,72000000,336.0,0.0,2.6,0.0,0.0,0.0,20221212
187660,에이디엠코리아,2021-06-03,2120,46292850000,55224,116638460,21836250,1538.0,22.08,1.38,96.0,0.0,0.0,20221212
200710,에이디테크놀로지,2014-12-16,13650,182013563550,49723,681867150,13334327,12300.0,11.91,1.11,1146.0,0.51,70.0,20221212
241840,에이스토리,2019-07-19,27500,262349835000,543107,14750415600,9539994,5139.0,15.14,5.35,1816.0,0.0,0.0,20221212
