종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
117580,1.8,3.67,-19.73,-27.76,-18.65,2.5,20230111
027830,0.18,6.85,-3.53,24.94,-10.49,-7.14,20230111
104040,1.52,6.39,3.74,24.25,5.38,-17.78,20230111
016710,3.96,8.26,4.89,27.29,50.51,145.83,20230111
387310,4.62,5.16,25.72,23.68,36.69,42.09,20230111
397500,-1.22,-1.22,-7.73,-24.25,-24.25,-3.56,20230111
020180,2.04,10.13,-13.49,-6.72,12.61,6.84,20230111
003540,-0.38,7.0,-11.26,-7.14,-8.45,-26.76,20230111
003547,0.0,6.33,-10.65,-10.31,-10.65,-22.19,20230111
003545,-0.41,5.26,-11.76,-11.44,-11.11,-24.05,20230111
108380,0.0,2.56,-2.44,0.0,3.9,-27.93,20230111
006580,0.0,0.0,0.0,0.0,0.0,0.0,20230111
014160,0.63,5.3,-5.64,19.55,-3.64,-36.02,20230111
047040,-2.84,12.42,3.01,10.54,-14.7,-25.08,20230111
009320,1.71,5.69,-4.81,-7.19,-16.34,-37.21,20230111
042660,2.12,6.35,3.77,1.85,-2.78,-23.46,20230111
003090,0.76,3.93,-5.25,4.2,-28.98,-32.83,20230111
069620,-0.34,-2.98,-7.57,-2.01,-17.0,3.53,20230111
007680,-0.85,-0.85,-7.89,-9.21,-18.32,-25.93,20230111
000430,0.31,0.95,-3.47,24.8,6.5,-11.62,20230111
048910,2.36,-5.0,5.19,32.17,29.91,-19.79,20230111
005710,3.33,3.9,-1.93,10.91,8.12,-17.31,20230111
006345,0.0,2.99,-3.6,2.34,-5.49,-15.59,20230111
024890,0.84,6.22,-0.83,-11.32,-15.1,-35.75,20230111
000300,1.31,5.6,-11.86,-6.53,-7.31,-36.12,20230111
120240,4.33,7.67,0.9,-11.08,-8.67,-18.2,20230111
003310,1.97,6.88,-6.8,-31.17,-24.1,23.28,20230111
114920,-14.76,-9.82,-12.9,-15.96,2.29,46.12,20230111
078600,1.49,3.54,1.23,0.37,30.99,-12.49,20230111
012800,0.81,6.87,-2.73,4.62,-7.43,-36.48,20230111
096350,2.53,4.52,-4.99,10.58,-21.17,-34.55,20230111
140520,1.23,5.1,-4.79,12.04,-7.83,-17.57,20230111
131220,1.26,6.79,-3.86,9.38,-12.89,-30.48,20230111
054670,0.67,5.36,-1.09,8.25,-9.95,-16.59,20230111
001070,0.58,0.97,1.76,0.78,5.17,8.58,20230111
023910,-1.16,-2.62,-3.57,14.89,12.08,4.03,20230111
006650,-0.83,9.09,6.51,50.63,53.19,-4.26,20230111
084010,1.78,7.51,-5.76,-6.15,-24.67,-33.04,20230111
001790,1.32,7.63,-0.37,4.48,-16.51,-5.3,20230111
001795,0.61,8.35,0.2,3.57,-21.37,-17.56,20230111
001130,0.0,4.74,5.13,11.67,7.09,-6.82,20230111
003495,-0.16,1.97,-2.96,18.03,-1.43,-12.89,20230111
005880,0.24,3.47,-3.24,2.96,-9.33,-16.73,20230111
003830,1.35,-2.59,-5.04,14.72,9.18,-12.74,20230111
016090,0.44,2.95,-2.99,12.1,15.82,4.61,20230111
067080,4.08,4.89,-11.87,-4.75,30.97,5.48,20230111
298540,0.0,-2.58,-8.36,25.89,3.97,9.44,20230111
192080,0.74,3.38,-3.75,2.04,21.36,-12.29,20230111
299170,4.56,8.94,-0.51,20.0,-4.65,-22.92,20230111
012510,-3.63,-5.29,-8.21,22.39,2.73,-45.84,20230111
302920,0.0,3.33,2.48,-13.77,-36.73,-29.55,20230111
213420,2.62,-7.59,-2.62,5.84,24.66,-28.97,20230111
317330,1.04,5.05,-8.2,-7.62,-2.02,-47.66,20230111
004830,0.56,3.67,3.47,15.86,-10.2,-67.55,20230111
004835,-0.5,0.0,-6.91,-7.49,-14.92,-67.68,20230111
090410,0.52,4.08,-5.43,22.76,-5.9,-19.37,20230111
024900,-0.19,6.79,0.58,15.33,4.64,-25.64,20230111
263600,3.83,3.83,2.23,17.31,16.38,-16.15,20230111
348840,0.0,0.0,-25.36,-0.48,-3.69,-26.67,20230111
261200,1.35,3.0,5.51,15.73,-3.74,-9.35,20230111
145720,6.19,1.54,2.66,13.2,24.13,33.43,20230111
002150,0.0,7.64,-0.57,8.98,0.11,9.39,20230111
006620,0.17,2.02,-1.46,6.68,-9.81,-23.93,20230111
100130,3.07,6.21,-7.48,-9.44,-16.37,-23.7,20230111
005160,0.39,4.35,-5.54,-14.21,35.27,10.84,20230111
075970,1.32,6.62,-7.1,-25.64,-4.55,-16.91,20230111
001230,3.19,16.67,6.58,14.6,5.28,-26.63,20230111
086450,2.86,1.89,-2.99,2.21,-16.06,-26.7,20230111
023450,-0.38,-1.89,-4.24,-3.17,-10.82,-17.75,20230111
