종목코드,종목명,산업,섹터,DT
090430,아모레퍼시픽,경기관련소비재,내구소비재와의류,20240822
021240,코웨이,경기관련소비재,내구소비재와의류,20240822
051900,LG생활건강,경기관련소비재,내구소비재와의류,20240822
081660,휠라홀딩스,경기관련소비재,내구소비재와의류,20240822
278470,에이피알,경기관련소비재,내구소비재와의류,20240822
161890,한국콜마,경기관련소비재,내구소비재와의류,20240822
192820,코스맥스,경기관련소비재,내구소비재와의류,20240822
383220,F&F,경기관련소비재,내구소비재와의류,20240822
111770,영원무역,경기관련소비재,내구소비재와의류,20240822
065350,신성델타테크,경기관련소비재,내구소비재와의류,20240822
298020,효성티앤씨,경기관련소비재,내구소비재와의류,20240822
048410,현대바이오,경기관련소비재,내구소비재와의류,20240822
018290,브이티,경기관련소비재,내구소비재와의류,20240822
002790,아모레G,경기관련소비재,내구소비재와의류,20240822
241710,코스메카코리아,경기관련소비재,내구소비재와의류,20240822
009450,경동나비엔,경기관련소비재,내구소비재와의류,20240822
009970,영원무역홀딩스,경기관련소비재,내구소비재와의류,20240822
001530,DI동일,경기관련소비재,내구소비재와의류,20240822
105630,한세실업,경기관련소비재,내구소비재와의류,20240822
093050,LF,경기관련소비재,내구소비재와의류,20240822
352480,씨앤씨인터내셔널,경기관련소비재,내구소비재와의류,20240822
114840,아이패밀리에스씨,경기관련소비재,내구소비재와의류,20240822
007700,F&F홀딩스,경기관련소비재,내구소비재와의류,20240822
020000,한섬,경기관련소비재,내구소비재와의류,20240822
036620,감성코퍼레이션,경기관련소비재,내구소비재와의류,20240822
031430,신세계인터내셔날,경기관련소비재,내구소비재와의류,20240822
237880,클리오,경기관련소비재,내구소비재와의류,20240822
337930,브랜드엑스코퍼레이션,경기관련소비재,내구소비재와의류,20240822
018250,애경산업,경기관련소비재,내구소비재와의류,20240822
024720,콜마홀딩스,경기관련소비재,내구소비재와의류,20240822
270660,에브리봇,경기관련소비재,내구소비재와의류,20240822
230360,에코마케팅,경기관련소비재,내구소비재와의류,20240822
006060,화승인더,경기관련소비재,내구소비재와의류,20240822
192400,쿠쿠홀딩스,경기관련소비재,내구소비재와의류,20240822
241590,화승엔터프라이즈,경기관련소비재,내구소비재와의류,20240822
035150,백산,경기관련소비재,내구소비재와의류,20240822
126560,현대퓨처넷,경기관련소비재,내구소비재와의류,20240822
011330,유니켐,경기관련소비재,내구소비재와의류,20240822
052260,현대바이오랜드,경기관련소비재,내구소비재와의류,20240822
284740,쿠쿠홈시스,경기관련소비재,내구소비재와의류,20240822
214260,라파스,경기관련소비재,내구소비재와의류,20240822
005390,신성통상,경기관련소비재,내구소비재와의류,20240822
003350,한국화장품제조,경기관련소비재,내구소비재와의류,20240822
092730,네오팜,경기관련소비재,내구소비재와의류,20240822
317870,엔바이오니아,경기관련소비재,내구소비재와의류,20240822
013990,아가방컴퍼니,경기관련소비재,내구소비재와의류,20240822
298540,더네이쳐홀딩스,경기관련소비재,내구소비재와의류,20240822
004700,조광피혁,경기관련소비재,내구소비재와의류,20240822
002700,신일전자,경기관련소비재,내구소비재와의류,20240822
110790,크리스에프앤씨,경기관련소비재,내구소비재와의류,20240822
003200,일신방직,경기관련소비재,내구소비재와의류,20240822
121440,골프존뉴딘홀딩스,경기관련소비재,내구소비재와의류,20240822
194370,제이에스코퍼레이션,경기관련소비재,내구소비재와의류,20240822
084680,이월드,경기관련소비재,내구소비재와의류,20240822
001460,BYC,경기관련소비재,내구소비재와의류,20240822
214420,토니모리,경기관련소비재,내구소비재와의류,20240822
000050,경방,경기관련소비재,내구소비재와의류,20240822
003610,방림,경기관련소비재,내구소비재와의류,20240822
004830,덕성,경기관련소비재,내구소비재와의류,20240822
439090,마녀공장,경기관련소비재,내구소비재와의류,20240822
453860,에이에스텍,경기관련소비재,내구소비재와의류,20240822
078520,에이블씨엔씨,경기관련소비재,내구소비재와의류,20240822
002170,삼양통상,경기관련소비재,내구소비재와의류,20240822
009270,신원,경기관련소비재,내구소비재와의류,20240822
027050,코리아나,경기관련소비재,내구소비재와의류,20240822
102280,쌍방울,경기관련소비재,내구소비재와의류,20240822
123690,한국화장품,경기관련소비재,내구소비재와의류,20240822
044340,위닉스,경기관련소비재,내구소비재와의류,20240822
042600,새로닉스,경기관련소비재,내구소비재와의류,20240822
260930,씨티케이,경기관련소비재,내구소비재와의류,20240822
226320,잇츠한불,경기관련소비재,내구소비재와의류,20240822
011300,성안머티리얼스,경기관련소비재,내구소비재와의류,20240822
002450,삼익악기,경기관련소비재,내구소비재와의류,20240822
066910,손오공,경기관련소비재,내구소비재와의류,20240822
032940,원익,경기관련소비재,내구소비재와의류,20240822
086710,선진뷰티사이언스,경기관련소비재,내구소비재와의류,20240822
352700,씨앤투스,경기관련소비재,내구소비재와의류,20240822
451250,삐아,경기관련소비재,내구소비재와의류,20240822
014470,부방,경기관련소비재,내구소비재와의류,20240822
472850,폰드그룹,경기관련소비재,내구소비재와의류,20240822
016090,대현,경기관련소비재,내구소비재와의류,20240822
079980,휴비스,경기관련소비재,내구소비재와의류,20240822
033340,좋은사람들,경기관련소비재,내구소비재와의류,20240822
067170,오텍,경기관련소비재,내구소비재와의류,20240822
005800,신영와코루,경기관련소비재,내구소비재와의류,20240822
168330,내츄럴엔도텍,경기관련소비재,내구소비재와의류,20240822
226340,본느,경기관련소비재,내구소비재와의류,20240822
082660,코스나인,경기관련소비재,내구소비재와의류,20240822
007980,TP,경기관련소비재,내구소비재와의류,20240822
037070,파세코,경기관련소비재,내구소비재와의류,20240822
080530,코디,경기관련소비재,내구소비재와의류,20240822
159580,제로투세븐,경기관련소비재,내구소비재와의류,20240822
004060,SG세계물산,경기관련소비재,내구소비재와의류,20240822
114630,폴라리스우노,경기관련소비재,내구소비재와의류,20240822
111380,동인기연,경기관련소비재,내구소비재와의류,20240822
420570,제이투케이바이오,경기관련소비재,내구소비재와의류,20240822
016450,한세예스24홀딩스,경기관련소비재,내구소비재와의류,20240822
024950,삼천리자전거,경기관련소비재,내구소비재와의류,20240822
066130,하츠,경기관련소비재,내구소비재와의류,20240822
204020,그리티,경기관련소비재,내구소비재와의류,20240822
005360,모나미,경기관련소비재,내구소비재와의류,20240822
369370,블리츠웨이스튜디오,경기관련소비재,내구소비재와의류,20240822
366030,공구우먼,경기관련소비재,내구소비재와의류,20240822
088390,이녹스,경기관련소비재,내구소비재와의류,20240822
083550,케이엠,경기관련소비재,내구소비재와의류,20240822
145170,노브랜드,경기관련소비재,내구소비재와의류,20240822
227610,아우딘퓨쳐스,경기관련소비재,내구소비재와의류,20240822
039830,오로라,경기관련소비재,내구소비재와의류,20240822
265740,엔에프씨,경기관련소비재,내구소비재와의류,20240822
005320,국동,경기관련소비재,내구소비재와의류,20240822
263020,디케이앤디,경기관련소비재,내구소비재와의류,20240822
306040,에스제이그룹,경기관련소비재,내구소비재와의류,20240822
024890,대원화성,경기관련소비재,내구소비재와의류,20240822
352090,스톰테크,경기관련소비재,내구소비재와의류,20240822
111110,호전실업,경기관련소비재,내구소비재와의류,20240822
065060,지엔코,경기관련소비재,내구소비재와의류,20240822
252500,세화피앤씨,경기관련소비재,내구소비재와의류,20240822
406820,뷰티스킨,경기관련소비재,내구소비재와의류,20240822
256150,한독크린텍,경기관련소비재,내구소비재와의류,20240822
014990,인디에프,경기관련소비재,내구소비재와의류,20240822
093240,형지엘리트,경기관련소비재,내구소비재와의류,20240822
024940,PN풍년,경기관련소비재,내구소비재와의류,20240822
234920,자이글,경기관련소비재,내구소비재와의류,20240822
008600,윌비스,경기관련소비재,내구소비재와의류,20240822
215480,토박스코리아,경기관련소비재,내구소비재와의류,20240822
026040,제이에스티나,경기관련소비재,내구소비재와의류,20240822
025620,제이준코스메틱,경기관련소비재,내구소비재와의류,20240822
002070,비비안,경기관련소비재,내구소비재와의류,20240822
