종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
013120,0.19,1.17,-3.53,8.92,-3.35,-19.28,20220502
018500,0.31,2.73,7.96,9.16,-1.71,-15.04,20220502
006040,-1.6,-3.73,-0.41,12.1,7.91,-9.07,20220502
030720,3.97,-9.03,-1.87,43.48,38.04,47.52,20220502
014825,0.0,0.41,4.1,9.19,5.59,-3.41,20220502
163560,1.2,-1.69,3.27,10.5,-9.55,-23.36,20220502
004890,0.57,0.57,-0.28,11.04,23.94,95.56,20220502
005290,-0.26,0.26,-0.52,-2.19,8.57,23.18,20220502
025900,0.0,4.56,5.23,21.15,-2.25,14.11,20220502
000020,-0.79,0.8,-5.97,7.69,-22.94,-17.92,20220502
000150,-2.34,-2.01,-14.44,-9.21,-14.85,38.77,20220502
