종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
238090,앤디포스,2016-10-12,8120,191201682600,46679.0,377597080.0,23605146.0,6052.0,20.25,1.34,401.0,0.0,0.0
174900,앱클론,2017-09-18,13050,198614897000,51969.0,672424850.0,15278069.0,1920.0,0.0,6.8,0.0,0.0,0.0
102120,어보브반도체,2009-06-05,12350,213007766600,100472.0,1226904150.0,17459653.0,5804.0,14.53,2.13,850.0,1.94,240.0
065420,에스아이리소스,2002-08-22,639,43500682854,0.0,0.0,68076186.0,203.0,35.5,3.15,18.0,0.0,0.0
103230,에스앤더블류,2009-08-05,2505,18036000000,0.0,0.0,7200000.0,5522.0,28.8,0.45,87.0,0.0,0.0
095910,에스에너지,2007-10-16,4070,78168576070,666503.0,2641622280.0,19396669.0,6111.0,0.0,0.67,0.0,1.23,50.0
351320,에스에이티이엔지,2020-06-22,4660,94506640470,15476.0,71689090.0,20345886.0,0.0,0.0,0.0,0.0,0.0,0.0
056190,에스에프에이,2001-12-18,38350,1391464450000,141495.0,5410589650.0,35908760.0,28838.0,12.07,1.33,3176.0,2.48,950.0
043340,에쎈테크,2000-08-29,1185,85320000000,172167.0,203201275.0,72000000.0,379.0,0.0,3.13,0.0,0.0,0.0
200710,에이디테크놀로지,2014-12-16,18200,243935925600,43542.0,790721400.0,13329832.0,11032.0,64.06,1.65,284.0,0.38,70.0
241840,에이스토리,2019-07-19,30000,285952800000,129476.0,3842694900.0,9531760.0,3296.0,0.0,9.1,0.0,0.0,0.0
224110,에이텍티앤,2015-08-25,13800,73692000000,163518.0,2249260900.0,5340000.0,9333.0,27.77,1.48,497.0,0.72,100.0
021080,에이티넘인베스트,1991-07-12,4890,235200000000,492225.0,2427715530.0,48000000.0,1915.0,16.03,2.55,305.0,2.04,100.0
950130,엑세스바이오,2013-05-30,16300,593758866450,618300.0,10252438750.0,36315527.0,,,,,,
092870,엑시콘,2015-10-22,13100,137237263700,41495.0,543809850.0,10476127.0,9128.0,10.45,1.44,1253.0,0.38,50.0
101400,엔시트론,2009-03-31,1190,40150707100,159753.0,188807830.0,33740090.0,539.0,0.0,2.21,0.0,0.0,0.0
365590,엔에이치스팩18호,2020-12-21,2075,9545000000,9903.0,20547500.0,4600000.0,0.0,0.0,0.0,0.0,0.0,0.0
182400,엔케이맥스,2015-10-23,16050,618231362400,241043.0,3798692550.0,38519088.0,3452.0,0.0,4.65,0.0,0.0,0.0
138690,엘아이에스,2011-06-02,2810,58541340380,849549.0,2420025175.0,20685986.0,2801.0,18.02,1.0,156.0,0.0,0.0
058630,엠게임,2008-12-19,10400,203256320800,2891820.0,29689459320.0,19543877.0,2374.0,29.38,4.38,354.0,0.0,0.0
019590,엠벤처투자,1989-03-14,1420,112307133510,246385.0,348761370.0,78536457.0,501.0,0.0,2.83,0.0,0.0,0.0
090740,연이비앤티,2007-09-19,2105,40260402610,0.0,0.0,19126082.0,471.0,0.0,4.47,0.0,0.0,0.0
265560,영화테크,2017-10-26,17650,188147168000,136659.0,2388421550.0,10690180.0,4679.0,420.2,3.77,42.0,0.28,50.0
122640,예스티,2015-12-16,10950,189337862550,68766.0,748686700.0,17291129.0,4274.0,521.5,2.56,21.0,0.0,0.0
045060,오공,2000-08-10,4060,68784414440,28839.0,116602115.0,16941974.0,5096.0,8.86,0.8,458.0,1.48,60.0
080520,오디텍,2007-10-08,7350,86455042240,92783.0,678141960.0,11746609.0,10316.0,14.67,0.71,501.0,1.36,100.0
