종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
28513K,1.65,1.86,-0.8,-9.19,-15.12,-17.53,-52.32,20240801
000660,-0.67,1.74,-16.68,11.35,43.5,61.76,100.31,20240801
063440,1.51,-1.15,-1.09,-11.73,-16.59,-23.23,-33.92,20240801
003570,5.31,5.83,3.56,35.66,49.01,119.98,161.08,20240801
064960,0.93,-0.69,-12.84,-6.46,-2.14,-10.5,-0.91,20240801
036530,0.43,10.85,14.91,3.75,21.76,47.61,50.64,20240801
067160,-4.64,-18.83,-24.71,-9.78,-5.19,19.78,19.2,20240801
005610,0.37,0.55,-3.35,-6.48,-8.21,-17.22,-31.07,20240801
077970,-0.31,1.07,-6.5,19.79,37.72,14.18,6.98,20240801
071970,6.72,20.88,29.13,53.27,122.62,94.47,456.56,20240801
002820,0.15,0.91,9.97,28.29,18.21,27.06,-25.37,20240801
289080,1.15,0.16,-3.1,-5.23,-8.58,-2.95,-33.4,20240801
084870,0.6,-0.74,-7.3,-26.07,-19.1,-22.98,-33.32,20240801
002710,1.77,-1.71,-29.13,-28.17,-25.3,-37.02,167.74,20240801
032540,0.53,-0.7,-1.55,0.71,1.96,-10.78,-9.65,20240801
022220,0.99,0.09,2.0,-8.42,-3.86,-14.23,-38.58,20240801
069260,-0.05,0.05,-1.86,-3.59,-8.24,-16.67,-6.44,20240801
048770,0.64,0.0,-2.92,-9.2,-22.55,3.78,-33.05,20240801
246690,0.35,1.94,-1.78,-9.53,-9.25,-21.06,-53.31,20240801
002900,-3.16,-20.77,-19.16,-30.7,-39.52,-47.18,31.58,20240801
024070,1.81,0.22,-6.46,-7.61,-12.65,-19.1,-29.62,20240801
057030,2.23,2.52,-0.81,-11.9,-22.19,-0.95,-27.43,20240801
037270,-0.47,-0.63,-7.33,-21.59,-24.22,-38.16,-50.39,20240801
040300,-0.42,1.14,13.3,-6.73,-37.21,-51.84,-2.21,20240801
051390,-0.41,-0.54,-1.34,-2.0,-1.34,4.55,-2.91,20240801
052220,-2.48,-10.13,8.62,1.61,1.61,-5.41,-5.26,20240801
079940,1.42,-1.31,-2.12,-20.45,-17.31,18.6,22.05,20240801
399720,1.92,-1.66,-18.53,-38.78,-12.36,17.05,100.0,20240801
296520,0.0,0.0,-2.5,-11.36,-38.1,-61.0,,20240801
000860,0.55,2.6,7.18,0.91,41.83,27.19,18.71,20240801
035250,0.62,1.4,4.61,-5.03,-3.2,-7.22,-43.24,20240801
114190,2.2,-0.46,-14.7,-24.81,-0.23,-44.56,151.94,20240801
094480,-2.66,-6.29,39.76,10.73,-14.45,58.15,10.12,20240801
011420,-1.9,-8.67,32.31,19.44,7.28,35.36,33.33,20240801
039240,0.17,1.54,-1.16,-9.3,-2.14,-2.46,-13.01,20240801
002100,0.4,-0.1,-3.4,0.2,-0.2,-0.4,-11.56,20240801
009450,3.31,-1.0,15.82,8.21,26.17,1.19,48.44,20240801
267290,-0.31,0.88,-0.92,0.57,1.36,-0.92,-11.73,20240801
012320,2.18,3.18,5.5,18.71,38.82,5.63,138.42,20240801
011040,-0.29,2.96,2.51,9.97,10.67,2.36,-22.26,20240801
000050,0.0,0.14,-8.27,-6.82,-17.06,-25.5,-45.17,20240801
214390,0.0,0.0,0.0,0.0,1.78,-1.06,4.35,20240801
012610,0.29,0.59,-1.31,-0.58,-3.0,-22.02,-41.58,20240801
009140,0.0,1.39,-3.74,-8.77,-8.0,-7.22,-20.83,20240801
