종목코드,종목명,산업,섹터,날짜
010780,아이에스동서,산업재,자본재,20221005
009240,한샘,산업재,자본재,20221005
000150,두산,산업재,자본재,20221005
267270,현대건설기계,산업재,자본재,20221005
344820,KCC글라스,산업재,자본재,20221005
383800,LX홀딩스,산업재,자본재,20221005
090710,휴림로봇,산업재,자본재,20221005
013890,지누스,산업재,자본재,20221005
017960,한국카본,산업재,자본재,20221005
082740,HSD엔진,산업재,자본재,20221005
298040,효성중공업,산업재,자본재,20221005
014620,성광벤드,산업재,자본재,20221005
101670,코리아에스이,산업재,자본재,20221005
023160,태광,산업재,자본재,20221005
001470,삼부토건,산업재,자본재,20221005
300720,한일시멘트,산업재,자본재,20221005
002900,TYM,산업재,자본재,20221005
074610,이엔플러스,산업재,자본재,20221005
025900,동화기업,산업재,자본재,20221005
108670,LX하우시스,산업재,자본재,20221005
012630,HDC,산업재,자본재,20221005
053690,한미글로벌,산업재,자본재,20221005
282880,코윈테크,산업재,자본재,20221005
006910,보성파워텍,산업재,자본재,20221005
013030,하이록코리아,산업재,자본재,20221005
195990,에이비프로바이오,산업재,자본재,20221005
277810,레인보우로보틱스,산업재,자본재,20221005
104460,디와이피엔에프,산업재,자본재,20221005
099320,쎄트렉아이,산업재,자본재,20221005
011700,한신기계,산업재,자본재,20221005
011760,현대코퍼레이션,산업재,자본재,20221005
002020,코오롱,산업재,자본재,20221005
049180,셀루메드,산업재,자본재,20221005
023410,유진기업,산업재,자본재,20221005
