종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
008770,4.04,2.87,7.84,8.7,-8.13,-2.14
020560,4.62,-3.98,-10.62,-6.46,-23.63,10.31
352820,4.01,-0.52,14.23,-19.61,-1.55,35.47
086900,2.78,2.28,7.45,-9.85,-28.12,-36.71
001450,5.73,5.54,6.32,18.18,11.72,26.83
003530,2.01,-1.13,-8.87,-12.82,-1.53,72.19
003410,3.31,5.32,4.37,5.45,-3.68,20.83
086450,3.69,1.2,4.99,2.68,-14.43,-27.66
000240,3.09,1.52,-2.55,-18.6,-22.61,-25.0
120110,1.42,-5.92,-8.19,-26.29,-34.25,4.95
012450,1.13,-1.1,6.94,24.62,5.89,40.55
020120,0.0,-1.63,1.34,-7.36,-10.65,24.28
051600,1.15,6.73,13.77,-0.75,5.45,43.66
000810,2.49,-1.33,-13.11,-11.24,-17.92,1.92
000050,1.4,-1.36,-2.03,7.41,6.23,14.62
004370,0.35,-5.68,-14.93,1.57,-2.68,4.68
071840,3.86,2.11,6.14,-5.65,-22.81,-35.21
114090,2.92,-4.08,-1.4,11.02,-9.62,-12.69
036420,-0.34,4.77,10.63,17.43,41.53,28.77
000100,1.38,1.56,2.62,1.72,-1.86,-1.86
192080,1.61,0.6,-2.5,-18.78,-20.06,-10.92
265520,2.54,7.08,6.84,4.31,-16.26,-18.93
104700,-0.6,0.36,6.51,9.72,-16.42,3.09
323990,1.51,21.16,24.79,-22.61,-44.42,-57.35
348210,5.72,1.6,-4.34,16.94,6.9,-28.29
080420,-0.38,-9.89,-21.02,14.27,14.43,19.79
226950,2.59,-1.94,-10.19,-27.36,-40.83,-38.4
009290,0.96,-0.54,4.71,1.95,-11.69,-17.08
071320,0.0,-0.97,-0.97,-4.79,-11.51,-4.54
007070,3.26,0.0,-6.42,-11.49,-21.43,-27.94
013120,4.36,7.66,8.21,6.04,-12.6,1.15
058650,0.9,6.67,12.22,6.16,3.23,49.73
009240,5.19,16.58,13.32,-5.86,-26.64,-15.74
005490,2.53,0.0,5.59,-0.18,-15.88,-5.18
018880,6.94,-1.28,3.59,-16.3,-29.79,-32.65
090430,-2.3,-8.36,6.58,1.8,-25.27,-29.17
082270,3.01,0.65,3.01,-12.0,-27.53,-36.89
001680,0.93,-1.81,-6.05,-3.33,-13.86,-13.17
363280,0.72,1.83,9.88,7.75,-9.59,14.4
383310,3.05,-7.38,9.09,-36.69,-54.55,
035890,3.34,4.29,4.62,4.94,-17.07,9.68
377300,5.06,-8.78,5.47,-33.99,,
002840,0.28,-2.95,-1.9,-11.49,-11.27,13.84
051500,5.12,-7.09,9.51,35.23,9.2,74.31
006260,0.6,2.33,-0.2,-3.98,-24.02,-27.61
016710,-0.39,-0.78,6.08,10.24,27.78,90.58
024110,1.94,0.0,-1.41,-3.23,1.94,22.95
089030,2.67,1.05,-2.04,-13.12,-26.01,-13.51
016360,1.83,-1.07,-0.36,-10.7,-15.57,8.58
376980,2.85,-1.07,2.69,-2.7,-8.72,
005690,0.9,1.81,-4.66,-13.79,-31.19,-29.69
138040,-0.47,-12.24,-29.58,-12.72,9.74,156.5
003060,0.93,-3.94,-3.2,-13.3,-33.1,-33.1
222080,3.47,4.93,0.34,-1.0,8.36,5.3
272450,7.35,2.75,-5.62,-0.3,-20.01,-16.56
082640,1.15,0.49,-2.22,-10.97,14.26,51.04
036200,0.89,-0.44,-9.6,-20.42,-20.7,-13.41
249420,1.29,-14.56,-0.42,177.13,228.12,174.71
001800,1.83,-0.36,-4.47,-10.61,-12.85,-0.71
183300,2.55,-1.88,-5.08,-26.03,-36.68,-9.2
068240,4.32,2.9,9.62,-2.11,43.81,63.88
015760,3.83,5.4,11.42,12.7,1.67,3.39
069260,3.11,-2.27,-1.6,-7.11,-19.44,-6.71
009160,-0.38,-0.26,21.75,14.24,17.52,137.56
402340,5.38,-4.07,-10.82,-21.36,,
078600,5.14,-0.55,-1.1,-20.0,60.14,123.6
108670,3.28,3.1,-0.88,-7.97,-35.75,-24.63
267250,1.16,-1.13,5.97,-5.07,-19.75,-4.2
091990,0.92,5.09,5.25,-18.9,-45.52,-47.92
052690,0.56,1.94,13.29,-2.51,92.68,404.23
030190,2.8,-2.65,-1.08,1.94,-13.44,-18.98
027360,4.79,1.5,-3.5,-10.9,-35.08,-9.71
030610,1.09,-2.11,-6.54,-12.17,-12.79,1.36
060250,2.94,1.66,-0.2,-17.45,-17.2,-17.03
330860,2.73,-3.6,-10.76,-20.13,-8.5,-5.47
034120,0.24,-3.48,-6.84,-7.05,-18.05,76.81
000020,0.39,0.78,1.57,-13.71,-13.13,-9.79
091700,-0.97,-9.69,-14.58,-10.87,2.71,-8.89
112040,1.97,-5.31,-24.19,-42.52,116.14,401.67
025860,-3.88,-3.41,6.91,-6.6,-9.59,13.79
032820,4.41,5.39,13.92,31.96,5.63,89.08
011170,2.34,-4.84,-3.44,-12.28,-21.4,-40.09
336370,0.5,-4.91,-14.27,-36.94,-3.06,30.65
049070,0.17,-9.77,-21.35,19.51,10.23,-3.8
095340,3.0,-6.87,-9.33,-8.04,12.77,43.95
036570,3.02,-1.88,-17.87,-39.08,-32.8,-53.9
086790,3.05,-1.72,-1.3,7.67,1.33,17.81
023590,0.7,-1.61,1.9,-6.54,-17.66,-19.21
003280,-0.32,-8.93,45.96,10.49,103.22,103.22
105630,1.93,-8.46,-18.22,0.48,2.18,-0.24
003220,-0.28,-8.03,12.25,12.96,-13.11,7.9
299030,-0.16,4.5,-1.72,21.28,-3.39,17.72
046890,1.13,-0.37,-11.22,-8.5,-18.48,-32.41
194700,0.47,8.44,14.13,26.57,-3.53,5.34
026890,0.71,-1.29,-7.69,-32.86,-31.24,-11.77
278280,6.29,0.69,-1.01,-10.67,21.45,76.2
084010,-0.6,-2.56,29.66,58.84,12.53,82.96
047820,-0.19,2.15,6.1,-22.21,2.15,9.66
016580,0.0,2.65,5.44,1.45,-10.51,-10.51
196170,5.67,10.99,22.76,-20.21,-29.88,-33.58
200130,3.27,-2.52,15.83,10.49,-13.23,-31.19
006120,1.67,-2.83,-3.19,-13.0,-17.54,-37.3
056190,3.11,3.78,19.7,7.28,2.58,-8.61
131370,2.37,-1.95,-15.76,-33.26,-30.73,-31.98
020000,2.4,-4.87,-9.66,-6.69,-15.99,-11.41
291230,4.35,-6.28,-6.56,-47.34,26.35,205.7
033270,-0.44,-0.33,-2.79,-7.46,-13.71,-15.17
